apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
Haspa PB Strategie - Wachstum, Ausgewogen, 4, 3J, 8.84%, 6.77%
HSBC Strategie Balanced AC, Ausgewogen, 4, 3J, 16.66%, 8.81%
HUK-Vermögensfonds Dynamik, Ausgewogen, 4, 3J, 35.22%, 14.07%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 4, 3J, 12.14%, 7.35%
HVB Verm.dep.privat Balance PI, Ausgewogen, 4, 3J, 8.21%, 5.26%
Hypo PF Ausgewogen A, Ausgewogen, 4, 3J, 16.77%, 5.42%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 4, 3J, 20.86%, 7.01%
Lampe Ausgewogen, Ausgewogen, 4, 3J, 7.25%, 6.57%
LBBW Balance CR40, Ausgewogen, 4, 3J, 12.11%, 5.92%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 4, 3J, 14.7%, 6.38%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 4, 3J, 11.11%, 5.36%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 4, 3J, 14.89%, 6.93%
PB VP Klassik 50 PI 1, Ausgewogen, 4, 3J, 10.67%, 5.47%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 4, 3J, 17.78%, 7.78%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 4, 3J, 18.88%, 8.59%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 4, 3J, 25.19%, 6.56%
Sauren Global Balanced A, Ausgewogen, 4, 3J, 9.8%, 3.96%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 4, 3J, 20.39%, 5.93%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 4, 3J, 21.16%, 7.35%
UBS (D) Konzeptfonds IV, Ausgewogen, 4, 3J, 19.76%, 6.97%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 4, 3J, 13.6%, 6.58%
UniStrategie: Ausgewogen, Ausgewogen, 4, 3J, 20.75%, 7.15%
WALSER Str.-Strategie Balance, Ausgewogen, 4, 3J, 15.43%, 6.52%
Anlagestruktur 1 A EUR, Ausgewogen, 4, 5J, n/a, n/a
AURETAS strategy balanced (D) C, Ausgewogen, 4, 5J, 31.76%, 6.1%
Basler-International DWS, Ausgewogen, 4, 5J, 38.82%, 7.34%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 4, 5J, 19.1%, 5.7%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 4, 5J, 35.27%, 8.22%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 4, 5J, 49.42%, 7.08%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 4, 5J, 27.15%, 6.16%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 4, 5J, 17.85%, 6.2%
Castell VV Ausgewogen I, Ausgewogen, 4, 5J, n/a, n/a
Credit Suisse MACS Classic 40 P, Ausgewogen, 4, 5J, 31.9%, 6.32%
Credit Suisse MACS Classic 60 P, Ausgewogen, 4, 5J, 41.21%, 8.82%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 4, 5J, 32.21%, 7.39%
D&R Strategie - Ausgewogen P, Ausgewogen, 4, 5J, -1.09%, 3.76%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 4, 5J, n/a, n/a
Deka-BR 45, Ausgewogen, 4, 5J, 28.08%, 4.62%
Do - Balanced, Ausgewogen, 4, 5J, n/a, n/a
easyfolio 50, Ausgewogen, 4, 5J, n/a, n/a
EdR Patrimoine A, Ausgewogen, 4, 5J, 22.78%, 5.74%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 4, 5J, 46.86%, 6.2%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 4, 5J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 4, 5J, 21.47%, 6.03%
HSBC Strategie Balanced AC, Ausgewogen, 4, 5J, 28.18%, 7.82%
HUK-Vermögensfonds Dynamik, Ausgewogen, 4, 5J, 64.21%, 12.59%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 4, 5J, 16.33%, 6.48%
HVB Verm.dep.privat Balance PI, Ausgewogen, 4, 5J, 10.58%, 4.66%
Hypo PF Ausgewogen A, Ausgewogen, 4, 5J, 31.38%, 5.1%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 4, 5J, 42.73%, 6.45%
Lampe Ausgewogen, Ausgewogen, 4, 5J, 17.84%, 5.93%
LBBW Balance CR40, Ausgewogen, 4, 5J, 27.24%, 5.41%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 4, 5J, 22.11%, 5.87%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 4, 5J, n/a, n/a
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 4, 5J, n/a, n/a
PB VP Klassik 50 PI 1, Ausgewogen, 4, 5J, 23.85%, 4.92%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 4, 5J, 33.54%, 7.02%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 4, 5J, 28.75%, 8.12%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 4, 5J, 34.77%, 5.85%
Sauren Global Balanced A, Ausgewogen, 4, 5J, 22.93%, 3.69%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 4, 5J, 40.42%, 5.52%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 4, 5J, 33.45%, 6.41%
UBS (D) Konzeptfonds IV, Ausgewogen, 4, 5J, 41.92%, 6.75%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 4, 5J, 30.67%, 6.12%
UniStrategie: Ausgewogen, Ausgewogen, 4, 5J, 48.05%, 6.47%
WALSER Str.-Strategie Balance, Ausgewogen, 4, 5J, 31.91%, 5.93%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 8, 1J, 9.72%, 6.63%
Ampega Balanced 3 I (t), Dividende & Zins, 8, 1J, 4.44%, 9.38%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 8, 1J, 3.31%, 4.75%
AURETAS strategy growth (D) A, Dividende & Zins, 8, 1J, 0.55%, 4.8%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 8, 1J, 9.42%, 7.8%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 8, 1J, 3.89%, 3.17%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 8, 1J, 3.9%, 3.15%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 8, 1J, 1.22%, 3.19%
BHF Flexible Allocation FT, Dividende & Zins, 8, 1J, 3.59%, 6.81%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 8, 1J, 0.62%, 3.78%
Credit Suisse MACS Dynamic P, Dividende & Zins, 8, 1J, 5.52%, 5.27%
Deutsche Bank Zins & Dividende, Dividende & Zins, 8, 1J, 1.17%, 3.3%
DJE - Zins & Dividende I EUR, Dividende & Zins, 8, 1J, 4.87%, 5.51%
DJE Concept I, Dividende & Zins, 8, 1J, 11.92%, 8.47%
easyfolio 70, Dividende & Zins, 8, 1J, 6.11%, 7.23%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 8, 1J, 4.12%, 8.18%
Gothaer Comfort Balance, Dividende & Zins, 8, 1J, 6.28%, 4.52%
Haspa PB Strategie - Chance, Dividende & Zins, 8, 1J, 9.46%, 7.89%
Haspa PB Strategie - Wachstum, Dividende & Zins, 8, 1J, 3.74%, 4.25%
HSBC Strategie Dynamik AC, Dividende & Zins, 8, 1J, 7.19%, 7.12%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 8, 1J, 1.27%, 4.95%
Lampe Dynamik, Dividende & Zins, 8, 1J, 6.53%, 6.89%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 8, 1J, 5.61%, 7.99%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 8, 1J, 2.35%, 5.19%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 8, 1J, 4.74%, 5.78%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 8, 1J, 4.04%, 7.06%
Phaidros Fds - Balanced C, Dividende & Zins, 8, 1J, 6.63%, 4.86%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 8, 1J, 5.49%, 6.15%
Sauren Global Stable Growth A, Dividende & Zins, 8, 1J, 6.07%, 4.15%
STARS Flexibel A, Dividende & Zins, 8, 1J, 8.54%, 10.01%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 8, 1J, 10.82%, 5.72%
Vermögensm. - Fonds Universal A, Dividende & Zins, 8, 1J, 0.78%, 3.44%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 8, 1J, 15.05%, 14.2%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 8, 1J, 5.83%, 4.78%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 8, 1J, 6.45%, 7.74%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 8, 3J, 21.88%, 8.26%
Ampega Balanced 3 I (t), Dividende & Zins, 8, 3J, 28.94%, 11.62%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 8, 3J, 11.63%, 7.92%
AURETAS strategy growth (D) A, Dividende & Zins, 8, 3J, 13.94%, 6.91%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 8, 3J, 6.28%, 11.87%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 8, 3J, 5.16%, 4.46%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 8, 3J, 5.15%, 4.47%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 8, 3J, 7.02%, 4.81%
BHF Flexible Allocation FT, Dividende & Zins, 8, 3J, 11.54%, 10.46%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 8, 3J, 1.68%, 6.95%
Credit Suisse MACS Dynamic P, Dividende & Zins, 8, 3J, 18.17%, 8.4%
Deutsche Bank Zins & Dividende, Dividende & Zins, 8, 3J, 6.23%, 5.0%
DJE - Zins & Dividende I EUR, Dividende & Zins, 8, 3J, 30.03%, 7.1%
DJE Concept I, Dividende & Zins, 8, 3J, 26.72%, 10.84%
easyfolio 70, Dividende & Zins, 8, 3J, 18.27%, 11.64%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 8, 3J, 9.9%, 10.91%
Gothaer Comfort Balance, Dividende & Zins, 8, 3J, 7.73%, 6.5%
Haspa PB Strategie - Chance, Dividende & Zins, 8, 3J, 15.7%, 12.88%
Haspa PB Strategie - Wachstum, Dividende & Zins, 8, 3J, 5.29%, 6.72%
HSBC Strategie Dynamik AC, Dividende & Zins, 8, 3J, 16.56%, 12.11%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 8, 3J, 4.49%, 7.45%
Lampe Dynamik, Dividende & Zins, 8, 3J, 7.22%, 12.08%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 8, 3J, 9.87%, 8.4%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 8, 3J, 5.96%, 6.89%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 8, 3J, 10.65%, 9.82%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 8, 3J, -0.16%, 13.04%
Phaidros Fds - Balanced C, Dividende & Zins, 8, 3J, 21.73%, 8.81%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 8, 3J, 10.35%, 9.64%
Sauren Global Stable Growth A, Dividende & Zins, 8, 3J, 13.34%, 6.27%
STARS Flexibel A, Dividende & Zins, 8, 3J, 12.03%, 11.78%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 8, 3J, 15.49%, 8.88%
Vermögensm. - Fonds Universal A, Dividende & Zins, 8, 3J, 7.82%, 4.55%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 8, 3J, 9.74%, 18.07%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 8, 3J, 5.33%, 8.59%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 8, 3J, 6.59%, 12.46%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 8, 5J, 43.78%, 7.08%
Ampega Balanced 3 I (t), Dividende & Zins, 8, 5J, 74.81%, 11.28%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 8, 5J, 25.34%, 6.85%
AURETAS strategy growth (D) A, Dividende & Zins, 8, 5J, 35.65%, 6.3%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 8, 5J, 25.01%, 10.51%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 8, 5J, 15.51%, 4.06%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 8, 5J, 15.49%, 4.06%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 8, 5J, 17.45%, 4.28%
BHF Flexible Allocation FT, Dividende & Zins, 8, 5J, 27.0%, 9.13%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 8, 5J, 11.35%, 6.15%
Credit Suisse MACS Dynamic P, Dividende & Zins, 8, 5J, 36.54%, 7.7%
Deutsche Bank Zins & Dividende, Dividende & Zins, 8, 5J, n/a, n/a
DJE - Zins & Dividende I EUR, Dividende & Zins, 8, 5J, 48.97%, 6.34%
DJE Concept I, Dividende & Zins, 8, 5J, 45.74%, 10.23%
easyfolio 70, Dividende & Zins, 8, 5J, n/a, n/a
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 8, 5J, 43.74%, 9.74%
Gothaer Comfort Balance, Dividende & Zins, 8, 5J, 24.98%, 5.8%
Haspa PB Strategie - Chance, Dividende & Zins, 8, 5J, 31.04%, 11.12%
Haspa PB Strategie - Wachstum, Dividende & Zins, 8, 5J, 16.38%, 5.99%
HSBC Strategie Dynamik AC, Dividende & Zins, 8, 5J, 36.16%, 10.78%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 8, 5J, 11.46%, 6.47%
Lampe Dynamik, Dividende & Zins, 8, 5J, 27.62%, 10.72%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 8, 5J, 24.34%, 7.6%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 8, 5J, n/a, n/a
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 8, 5J, n/a, n/a
Oppenheim Dynamic Europe Bal., Dividende & Zins, 8, 5J, 25.17%, 11.73%
Phaidros Fds - Balanced C, Dividende & Zins, 8, 5J, 41.06%, 7.53%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 8, 5J, 31.65%, 8.8%
Sauren Global Stable Growth A, Dividende & Zins, 8, 5J, 34.4%, 5.67%
STARS Flexibel A, Dividende & Zins, 8, 5J, n/a, n/a
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 8, 5J, 38.77%, 8.17%
Vermögensm. - Fonds Universal A, Dividende & Zins, 8, 5J, 4.7%, 4.32%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 8, 5J, 13.91%, 16.72%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 8, 5J, 24.46%, 8.35%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 8, 5J, 27.81%, 11.32%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 7, 1J, 8.8%, 6.61%
Ampega Balanced 3 I (t), Dividende & Zins, 7, 1J, 4.94%, 9.25%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 7, 1J, 4.58%, 4.77%
AURETAS strategy growth (D) A, Dividende & Zins, 7, 1J, 1.3%, 4.81%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 7, 1J, 10.24%, 7.64%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 7, 1J, 4.41%, 3.19%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 7, 1J, 4.42%, 3.18%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 7, 1J, 1.66%, 3.14%
BHF Flexible Allocation FT, Dividende & Zins, 7, 1J, 6.57%, 6.75%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 7, 1J, 2.27%, 3.66%
Credit Suisse MACS Dynamic P, Dividende & Zins, 7, 1J, 5.57%, 5.16%
Deutsche Bank Zins & Dividende, Dividende & Zins, 7, 1J, 1.4%, 3.3%
DJE - Zins & Dividende I EUR, Dividende & Zins, 7, 1J, 5.8%, 5.45%
DJE Concept I, Dividende & Zins, 7, 1J, 13.03%, 8.4%
easyfolio 70, Dividende & Zins, 7, 1J, 7.24%, 7.16%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 7, 1J, 3.61%, 7.86%
Gothaer Comfort Balance, Dividende & Zins, 7, 1J, 7.95%, 4.47%
Haspa PB Strategie - Chance, Dividende & Zins, 7, 1J, 13.15%, 8.12%
Haspa PB Strategie - Wachstum, Dividende & Zins, 7, 1J, 5.58%, 4.32%
HSBC Strategie Dynamik AC, Dividende & Zins, 7, 1J, 8.56%, 7.06%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 7, 1J, 2.97%, 4.86%
Lampe Dynamik, Dividende & Zins, 7, 1J, 6.47%, 6.69%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 7, 1J, 6.0%, 7.98%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 7, 1J, 2.77%, 5.16%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 7, 1J, 5.41%, 5.6%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 7, 1J, 5.63%, 6.46%
Phaidros Fds - Balanced C, Dividende & Zins, 7, 1J, 8.73%, 4.66%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 7, 1J, 6.27%, 6.03%
Sauren Global Stable Growth A, Dividende & Zins, 7, 1J, 7.34%, 4.06%
STARS Flexibel A, Dividende & Zins, 7, 1J, 9.96%, 10.1%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 7, 1J, 11.49%, 5.63%
Vermögensm. - Fonds Universal A, Dividende & Zins, 7, 1J, 0.15%, 3.41%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 7, 1J, 19.37%, 14.98%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 7, 1J, 6.98%, 4.59%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 7, 1J, 8.46%, 7.38%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 7, 3J, 21.91%, 8.24%
Ampega Balanced 3 I (t), Dividende & Zins, 7, 3J, 32.9%, 11.63%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 7, 3J, 13.39%, 7.91%
AURETAS strategy growth (D) A, Dividende & Zins, 7, 3J, 15.3%, 6.92%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 7, 3J, 9.3%, 11.81%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 7, 3J, 6.58%, 4.47%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 7, 3J, 6.58%, 4.47%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 7, 3J, 8.14%, 4.8%
BHF Flexible Allocation FT, Dividende & Zins, 7, 3J, 14.74%, 10.44%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 7, 3J, 4.08%, 6.94%
Credit Suisse MACS Dynamic P, Dividende & Zins, 7, 3J, 19.88%, 8.37%
Deutsche Bank Zins & Dividende, Dividende & Zins, 7, 3J, 8.0%, 4.99%
DJE - Zins & Dividende I EUR, Dividende & Zins, 7, 3J, 30.99%, 7.05%
DJE Concept I, Dividende & Zins, 7, 3J, 27.41%, 10.82%
easyfolio 70, Dividende & Zins, 7, 3J, 21.27%, 11.59%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 7, 3J, 12.24%, 10.86%
Gothaer Comfort Balance, Dividende & Zins, 7, 3J, 8.45%, 6.47%
Haspa PB Strategie - Chance, Dividende & Zins, 7, 3J, 18.67%, 12.9%
Haspa PB Strategie - Wachstum, Dividende & Zins, 7, 3J, 7.08%, 6.73%
HSBC Strategie Dynamik AC, Dividende & Zins, 7, 3J, 19.54%, 12.11%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 7, 3J, 6.33%, 7.4%
Lampe Dynamik, Dividende & Zins, 7, 3J, 8.81%, 12.08%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 7, 3J, 11.07%, 8.2%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 7, 3J, 8.93%, 6.88%
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 7, 3J, 13.2%, 9.79%
Oppenheim Dynamic Europe Bal., Dividende & Zins, 7, 3J, 1.57%, 12.97%
Phaidros Fds - Balanced C, Dividende & Zins, 7, 3J, 23.56%, 8.78%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 7, 3J, 12.86%, 9.62%
Sauren Global Stable Growth A, Dividende & Zins, 7, 3J, 15.73%, 6.27%
STARS Flexibel A, Dividende & Zins, 7, 3J, 14.25%, 11.77%
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 7, 3J, 17.35%, 8.89%
Vermögensm. - Fonds Universal A, Dividende & Zins, 7, 3J, 8.44%, 4.55%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 7, 3J, 6.88%, 18.05%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 7, 3J, 6.97%, 8.61%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 7, 3J, 9.41%, 12.47%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 7, 5J, 43.32%, 7.1%
Ampega Balanced 3 I (t), Dividende & Zins, 7, 5J, 76.18%, 11.34%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 7, 5J, 27.06%, 6.87%
AURETAS strategy growth (D) A, Dividende & Zins, 7, 5J, 36.88%, 6.33%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 7, 5J, 26.56%, 10.56%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 7, 5J, 16.42%, 4.07%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 7, 5J, 16.4%, 4.07%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 7, 5J, 18.16%, 4.28%
BHF Flexible Allocation FT, Dividende & Zins, 7, 5J, 28.96%, 9.18%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 7, 5J, 12.8%, 6.15%
Credit Suisse MACS Dynamic P, Dividende & Zins, 7, 5J, 0,38, 7.76%
Deutsche Bank Zins & Dividende, Dividende & Zins, 7, 5J, n/a, n/a
DJE - Zins & Dividende I EUR, Dividende & Zins, 7, 5J, 49.18%, 6.34%
DJE Concept I, Dividende & Zins, 7, 5J, 44.38%, 10.21%
easyfolio 70, Dividende & Zins, 7, 5J, n/a, n/a
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 7, 5J, 43.52%, 9.81%
Gothaer Comfort Balance, Dividende & Zins, 7, 5J, 26.2%, 5.82%
Haspa PB Strategie - Chance, Dividende & Zins, 7, 5J, 33.28%, 11.11%
Haspa PB Strategie - Wachstum, Dividende & Zins, 7, 5J, 17.91%, 6.0%
HSBC Strategie Dynamik AC, Dividende & Zins, 7, 5J, 36.73%, 10.81%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 7, 5J, 11.87%, 6.45%
Lampe Dynamik, Dividende & Zins, 7, 5J, 28.66%, 10.77%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 7, 5J, 24.54%, 8.4%
Metzler Vermögensverw.fonds 70 A, Dividende & Zins, 7, 5J, n/a, n/a
Multicoop.-Strat.Growth EUR C (thes.) (EUR), Dividende & Zins, 7, 5J, n/a, n/a
Oppenheim Dynamic Europe Bal., Dividende & Zins, 7, 5J, 28.59%, 11.71%
Phaidros Fds - Balanced C, Dividende & Zins, 7, 5J, 41.67%, 7.53%
PWM Vermögens.-DWS-Wachstum, Dividende & Zins, 7, 5J, 33.71%, 8.81%
Sauren Global Stable Growth A, Dividende & Zins, 7, 5J, 37.01%, 5.7%
STARS Flexibel A, Dividende & Zins, 7, 5J, n/a, n/a
UBS(L.)Strat.Fd - Growth (EUR) P-acc, Dividende & Zins, 7, 5J, 39.68%, 8.23%
Vermögensm. - Fonds Universal A, Dividende & Zins, 7, 5J, 5.01%, 4.33%
WARB. - TREND ALLOC. PLUS-FDS, Dividende & Zins, 7, 5J, 12.61%, 16.73%
Warb.Class.Vermögensmanage.Fds, Dividende & Zins, 7, 5J, 26.15%, 8.41%
Warburg Portfolio Dynamik Anteilklasse A, Dividende & Zins, 7, 5J, 30.22%, 11.34%
ACATIS-GANE VALUE EVENT F. UI B (Inst.), Dividende & Zins, 6, 1J, 11.95%, 7.13%
Ampega Balanced 3 I (t), Dividende & Zins, 6, 1J, 9.75%, 9.41%
antea InvtAG mvK u.TGV - antea R, Dividende & Zins, 6, 1J, 7.21%, 5.24%
AURETAS strategy growth (D) A, Dividende & Zins, 6, 1J, 4.51%, 5.54%
BERENB.-1590-FLEXIBLE ALLOKAT. B, Dividende & Zins, 6, 1J, 15.64%, 9.39%
BERENBERG-1590-SUBSTANZ-UNIVE. A, Dividende & Zins, 6, 1J, 5.99%, 3.34%
BERENBERG-1590-SUBSTANZ-UNIVE. T, Dividende & Zins, 6, 1J, 6.01%, 3.35%
Bethmann Vermögensverwa.Ertrag, Dividende & Zins, 6, 1J, 3.54%, 3.38%
BHF Flexible Allocation FT, Dividende & Zins, 6, 1J, 10.55%, 7.72%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Dividende & Zins, 6, 1J, 5.27%, 4.21%
Credit Suisse MACS Dynamic P, Dividende & Zins, 6, 1J, 8.03%, 5.7%
Deutsche Bank Zins & Dividende, Dividende & Zins, 6, 1J, 2.82%, 3.44%
DJE - Zins & Dividende I EUR, Dividende & Zins, 6, 1J, 9.08%, 5.61%
DJE Concept I, Dividende & Zins, 6, 1J, 15.78%, 8.86%
easyfolio 70, Dividende & Zins, 6, 1J, 11.01%, 7.87%
FIDUKA-UNIVERSAL-FONDS I, Dividende & Zins, 6, 1J, 4.84%, 8.48%
Gothaer Comfort Balance, Dividende & Zins, 6, 1J, 11.81%, 5.71%
Haspa PB Strategie - Chance, Dividende & Zins, 6, 1J, 19.04%, 9.45%
Haspa PB Strategie - Wachstum, Dividende & Zins, 6, 1J, 8.25%, 4.89%
HSBC Strategie Dynamik AC, Dividende & Zins, 6, 1J, 11.62%, 8.01%
HVB Verm.dep.priv.Wachstum PI, Dividende & Zins, 6, 1J, 5.8%, 5.72%
Lampe Dynamik, Dividende & Zins, 6, 1J, 9.31%, 7.77%
LGT MA SICAV-LGT GIM Growth B EUR, Dividende & Zins, 6, 1J, 8.03%, 7.98%
